	origin	dest	price	miles
1	ABE	ATL	52.47	692
2	ABE	FLL	51	1041
3	ABE	MYR	50	518
4	ABE	ORD	143	655
5	ABE	PGD	50	1018
6	ABE	PIE	50	970
7	ABE	PNS	139	963
8	ABE	SFB	50	882
9	ABI	DFW	409	158
10	ABQ	AGS	149.5	1412
11	ABQ	ATL	51	1269
12	ABQ	AUS	50	619
13	ABQ	BDL	196.38	1886
14	ABQ	BHM	229.72	1138
15	ABQ	BNA	118.37	1123
16	ABQ	BOI	124	781
17	ABQ	BOS	79.11	1974
18	ABQ	BTV	141.5	1881
19	ABQ	BUF	247.92	1588
20	ABQ	BUR	63.78	672
21	ABQ	BWI	121.21	1670
22	ABQ	CHS	72.5	1528
23	ABQ	CLE	162.02	1411
24	ABQ	CLT	303	1449
25	ABQ	CMH	137.85	1342
26	ABQ	CRP	205.35	734
27	ABQ	CVG	165.88	1241
28	ABQ	DAL	50.35	580
29	ABQ	DCA	121.01	1650
30	ABQ	DEN	50	349
31	ABQ	DFW	50.79	569
32	ABQ	DSM	100.55	833
33	ABQ	DTW	142.11	1347
34	ABQ	EWR	173.2	1805
35	ABQ	FLL	76	1688
36	ABQ	GEG	233.67	1035
37	ABQ	GRR	220.72	1253
38	ABQ	HOU	61.23	759
39	ABQ	HRL	151.07	807
40	ABQ	IAH	53.29	744
41	ABQ	IND	107	1161
42	ABQ	ISP	167	1861
43	ABQ	JAX	100.15	1480
44	ABQ	JFK	63	1826
45	ABQ	LAS	50	486
46	ABQ	LAX	50.5	677
47	ABQ	LBB	214	290
48	ABQ	LGB	239	664
49	ABQ	LIT	198	817
50	ABQ	MAF	119.48	332
51	ABQ	MCI	55.32	718
52	ABQ	MCO	50	1553
53	ABQ	MDW	75.71	1121
54	ABQ	MEM	127.86	942
55	ABQ	MHT	141.14	1955
56	ABQ	MKE	110.79	1142
57	ABQ	MSP	70.44	981
58	ABQ	MSY	136.37	1014
59	ABQ	OAK	52.21	889
60	ABQ	OKC	110.35	510
61	ABQ	OMA	79	725
62	ABQ	ONT	71.83	630
63	ABQ	ORD	53.16	1118
64	ABQ	ORF	186.75	1702
65	ABQ	PBI	110.5	1671
66	ABQ	PDX	86.9	1111
67	ABQ	PHL	170.14	1747
68	ABQ	PHX	50	328
69	ABQ	PIT	159	1486
70	ABQ	PNS	136.11	1172
71	ABQ	PVD	92.48	1950
72	ABQ	RDU	156	1565
73	ABQ	RNO	93.88	787
74	ABQ	ROC	191.3	1643
75	ABQ	RSW	166	1584
76	ABQ	SAN	50.5	628
77	ABQ	SAT	57.82	609
78	ABQ	SDF	109.57	1178
79	ABQ	SEA	53	1180
80	ABQ	SFO	92	896
81	ABQ	SJC	62	870
82	ABQ	SJU	132	2734
83	ABQ	SLC	53.54	493
84	ABQ	SMF	81.38	866
85	ABQ	SNA	68.25	650
86	ABQ	STL	113.6	934
87	ABQ	TPA	121.5	1498
88	ABQ	TUL	87.04	608
89	ABQ	TUS	272	321
90	ACK	BOS	53	91
91	ACK	DCA	64	405
92	ACK	JFK	51.41	199
93	ACY	ATL	50	679
94	ACY	FLL	50	977
95	ACY	MCO	50	852
96	ACY	MSY	50	1103
97	ACY	MYR	50	466
98	ACY	PBI	50.5	936
99	ACY	RSW	50	982
100	ACY	TPA	50	913
101	ADK	ANC	56.5	1192
102	ADQ	ANC	53.36	253
103	AGS	ABQ	148	1412
104	AGS	ATL	59.89	143
105	AGS	BHM	101.48	277
106	AGS	DFW	97	874
107	AGS	ELP	79	1425
108	AGS	HNL	196	4645
109	AGS	LAX	139	2090
110	AGS	LGA	324	678
111	AGS	LIT	94	596
112	AGS	PSP	233.5	1983
113	AGS	SAN	176.5	2035
114	AGS	SNA	198	2062
115	AGS	TUS	147.5	1684
116	AKN	ANC	60	288
117	ALB	ABQ	161	1834
118	ALB	ATL	58	853
119	ALB	AUS	166	1577
120	ALB	BHM	177	946
121	ALB	BNA	107	825
122	ALB	BUF	398	251
123	ALB	BUR	180	2457
124	ALB	BWI	51	289
125	ALB	CHS	112.93	760
126	ALB	CLE	129.64	424
127	ALB	CLT	53.99	646
128	ALB	CMH	127.81	509
129	ALB	CRP	215	1682
130	ALB	CVG	151	623
131	ALB	DAL	138.6	1428
132	ALB	DEN	51.5	1610
133	ALB	DTW	51.03	489
134	ALB	FLL	54.77	1204
135	ALB	HOU	117	1495
136	ALB	IND	120.25	683
